num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Wind_Speed_kmh,cat__Crop_Growth_Stage,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region,Total_Water,Evaporation,Soil_Fertility,Heat_Stress
7.58,54.78,0.71,3.23,20.88,39.91,323.92,10.29,8.76,Harvest,2.71,Yes,50.3,East,378.7000000000001,214.8552,0.1551633381416445,6.726617980677202
5.9,51.5,0.85,0.67,15.62,45.04,1448.12,7.81,4.84,Sowing,8.86,Yes,14.5,West,1499.62,121.99219999999998,0.4114352750946682,6.557523532990263
5.98,41.48,0.31,0.67,18.34,72.45,1608.98,10.94,16.23,Vegetative,1.24,Yes,117.32,Central,1650.46,200.6396,0.1702732182777801,7.192733449182744
6.7,57.59,0.77,0.24,18.63,56.6,1206.63,6.52,14.41,Flowering,14.95,No,99.69,South,1264.22,121.4676,0.4830233424540389,6.961730074928693
4.87,28.53,1.59,2.24,38.1,64.69,2086.72,9.39,15.02,Sowing,12.98,No,100.39,East,2115.25,357.759,0.3992731378602433,7.810226560604842
7.44,48.89,0.34,1.83,15.24,91.52,122.96,7.71,15.65,Sowing,11.34,Yes,69.67,West,171.85,117.5004,0.113454876234043,7.241197787752378
6.39,63.83,0.46,0.77,17.69,61.88,1562.15,7.87,16.44,Harvest,11.83,No,109.94,South,1625.98,139.2203,0.2310220388862896,6.999109644861431
5.85,57.07,1.25,3.34,28.92,61.21,54.61,8.67,12.8,Vegetative,5.85,No,37.35,West,111.68,250.7364,0.2531049390546943,7.479408722741944
7.91,13.03,0.42,0.42,25.54,80.18,1667.27,7.33,2.21,Flowering,15.0,Yes,49.08,South,1680.3,187.2082,0.2591087000077248,7.625008168230731
7.63,58.68,1.48,2.21,37.08,59.96,1610.06,5.05,2.51,Sowing,1.73,No,35.6,East,1668.74,187.254,0.3791616453162635,7.707205091269164
4.93,58.2,1.18,1.75,36.19,49.93,2338.13,4.98,2.02,Harvest,14.97,Yes,110.88,West,2396.33,180.2262,0.3570385142026899,7.499958122640913
5.49,41.17,1.54,2.21,38.2,51.77,248.37,7.98,10.3,Sowing,3.87,Yes,34.88,North,289.54,304.836,0.3918736809046253,7.590151878574187
6.57,28.66,1.49,3.13,12.24,48.84,117.93,8.76,3.39,Sowing,6.1,No,74.49,South,146.59,107.2224,0.3080542569326583,6.394930324552592
6.2,61.33,1.32,0.71,40.13,41.66,1424.5,10.11,4.37,Harvest,14.06,No,50.82,North,1485.83,405.7143,0.5720692490067093,7.422263593311329
6.34,63.04,0.67,2.37,36.55,83.27,1716.75,6.08,5.65,Harvest,2.48,No,28.16,Central,1779.79,222.224,0.1813319476087883,8.021098039561616
5.76,39.46,0.82,1.72,23.26,86.89,104.08,7.19,1.74,Harvest,1.14,No,15.69,Central,143.54,167.23940000000002,0.2634948468377771,7.611872765093663
7.97,16.58,1.34,0.31,14.98,32.04,1513.16,7.39,6.83,Vegetative,7.3,Yes,45.18,South,1529.74,110.7022,0.7045325027850706,6.175782443223239
7.72,38.68,1.44,1.32,18.12,45.55,801.26,8.35,0.62,Harvest,12.48,Yes,59.79,North,839.9399999999999,151.302,0.4828517717235845,6.717037774655092
6.11,45.19,1.43,0.3,34.09,56.51,2248.37,7.15,12.78,Harvest,3.1,Yes,83.55,West,2293.56,243.74350000000004,0.7419373447293772,7.563940661118745
5.02,64.28,1.12,1.0,35.91,93.23,934.61,6.81,3.6,Sowing,8.29,No,16.65,Central,998.89,244.5471,0.4446858212614457,8.11638401760471
4.84,17.24,0.72,1.97,28.73,90.13,2260.76,6.48,3.43,Harvest,6.32,No,16.64,North,2278.0,186.17040000000003,0.2170645052378275,7.859581055655343
7.61,34.71,0.31,0.29,14.34,91.28,1471.08,10.26,13.23,Sowing,11.4,Yes,10.97,Central,1505.79,147.1284,0.2153614108721548,7.177748217137133
4.86,63.69,0.83,2.62,21.89,80.63,542.23,10.85,19.48,Harvest,10.16,No,110.99,North,605.9200000000001,237.5065,0.2064300703404691,7.476467115011873
5.48,56.13,1.44,2.05,30.52,47.54,570.49,5.08,15.78,Flowering,11.45,Yes,69.36,Central,626.62,155.0416,0.3867111111348426,7.280642648442538
6.17,9.5,1.21,0.7,30.84,77.68,775.21,5.93,15.62,Flowering,7.25,Yes,90.25,East,784.71,182.8812,0.5375248301212308,7.781827708618649
5.25,26.19,1.59,3.23,12.13,38.23,593.58,7.62,10.58,Vegetative,4.44,Yes,95.56,East,619.7700000000001,92.4306,0.3190982686851598,6.141456376607652
8.02,59.76,0.8,0.53,14.82,78.69,2440.3,8.87,1.83,Flowering,10.69,Yes,66.45,North,2500.0600000000004,131.4534,0.4206005321732651,7.062350831267539
6.03,56.07,0.63,3.17,24.92,85.48,1434.13,7.55,3.77,Vegetative,7.49,Yes,72.77,South,1490.2,188.146,0.1406998821031351,7.664422462165725
6.2,54.89,1.29,3.4,19.61,71.11,307.53,7.67,14.84,Harvest,13.82,Yes,36.1,North,362.42,150.40869999999998,0.257105707214024,7.240984476919173
5.12,28.62,0.71,3.44,32.96,88.63,2476.41,10.39,8.77,Vegetative,9.74,Yes,54.92,Central,2505.03,342.4544,0.1483423382315113,7.980107367035531
7.9,45.27,0.63,0.73,33.15,32.57,535.28,5.8,11.13,Sowing,12.94,No,107.0,South,580.55,192.27,0.3105402105278311,6.985360094332652
5.82,13.32,0.49,2.56,30.59,54.96,2171.81,9.39,2.78,Flowering,8.99,Yes,21.42,North,2185.13,287.24010000000004,0.1289563362545087,7.427873433139587
7.26,36.65,1.17,2.1,40.02,66.33,1421.79,8.4,19.21,Vegetative,8.73,No,49.48,South,1458.44,336.16800000000006,0.3202117157494326,7.884398256758246
7.57,13.21,0.66,3.25,13.18,66.66,2316.28,7.87,1.89,Harvest,8.23,No,40.87,Central,2329.49,103.7266,0.1443549588701037,6.779443156525668
7.99,24.46,1.01,2.93,27.89,92.79,1394.28,8.21,5.42,Sowing,3.59,No,53.12,North,1418.74,228.97690000000003,0.2287259053186612,7.858993414105174
7.75,34.64,0.46,2.81,40.29,85.43,986.85,7.79,8.79,Flowering,4.97,No,85.89,North,1021.49,313.8591,0.1139846381019236,8.144091115068713
7.65,31.72,0.3,1.72,39.78,47.78,2195.57,10.05,12.54,Sowing,13.4,No,9.7,West,2227.29,399.789,0.1046249510788723,7.550497402134189
5.93,8.03,1.48,3.5,21.27,32.03,792.31,6.42,19.05,Flowering,15.0,Yes,27.02,North,800.3399999999999,136.55339999999998,0.2843431711862663,6.525437345988353
6.54,9.3,0.76,3.26,37.4,30.27,1285.74,5.56,3.65,Vegetative,5.17,Yes,75.89,Central,1295.04,207.944,0.1641607734223587,7.032710753315684
6.43,45.36,0.42,0.5,17.05,59.05,158.48,5.08,14.86,Vegetative,11.15,No,75.19,South,203.84,86.614,0.2468600779315257,6.915527496894343
7.27,42.79,1.35,3.3,32.31,59.36,832.16,9.79,9.77,Vegetative,11.72,Yes,40.07,South,874.9499999999999,316.3149,0.2730405224588328,7.55951864056135
6.27,43.49,1.05,0.48,20.7,80.85,2440.01,5.21,13.41,Harvest,5.83,No,99.09,Central,2483.5,107.847,0.5361772149634052,7.423326623978223
7.48,56.11,1.53,2.07,13.39,40.37,1143.3,9.93,9.94,Harvest,2.72,Yes,51.29,East,1199.41,132.9627,0.4043787418959436,6.294443338421952
7.68,10.14,1.1,1.16,19.44,43.46,660.54,9.19,3.54,Sowing,8.94,Yes,29.93,Central,670.68,178.6536,0.4116189736825427,6.740356698623506
7.14,48.85,0.32,1.92,22.05,33.56,1936.05,9.24,18.51,Vegetative,14.35,Yes,76.24,Central,1984.9,203.742,0.1039897135240476,6.607997926237114
4.85,34.84,0.44,1.77,36.28,42.05,924.31,5.75,5.82,Sowing,13.71,Yes,82.64,East,959.15,208.61,0.1474236169426773,7.330781287907924
