Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region
2,7.58,54.78,0.71,3.23,20.88,39.91,323.92,10.29,1790,0,1,2,1,4,736,2,3283,1
3,5.9,51.5,0.85,0.67,15.62,45.04,1448.12,7.81,1402,0,3,2,2,3,1348,2,1306,4
1,5.98,41.48,0.31,0.67,18.34,72.45,1608.98,10.94,754,3,4,3,0,3,94,2,1055,0
2,6.7,57.59,0.77,0.24,18.63,56.6,1206.63,6.52,577,4,0,2,2,1,660,1,5879,3
1,4.87,28.53,1.59,2.24,38.1,64.69,2086.72,9.39,635,6,3,3,4,4,465,1,160,1
3,7.44,48.89,0.34,1.83,15.24,91.52,122.96,7.71,698,4,3,2,4,2,303,2,4268,4
3,6.39,63.83,0.46,0.77,17.69,61.88,1562.15,7.87,773,4,1,3,1,1,352,1,648,3
0,5.85,57.07,1.25,3.34,28.92,61.21,54.61,8.67,420,0,4,2,0,1,1047,1,2559,4
2,7.91,13.03,0.42,0.42,25.54,80.18,1667.27,7.33,1141,2,0,2,1,2,665,2,3184,3
1,7.63,58.68,1.48,2.21,37.08,59.96,1610.06,5.05,1170,0,3,3,1,3,143,1,2471,1
0,4.93,58.2,1.18,1.75,36.19,49.93,2338.13,4.98,1122,0,1,3,1,1,662,2,747,4
0,5.49,41.17,1.54,2.21,38.2,51.77,248.37,7.98,176,5,3,3,0,2,849,2,2432,2
1,6.57,28.66,1.49,3.13,12.24,48.84,117.93,8.76,1258,2,3,2,2,3,1072,1,4560,3
0,6.2,61.33,1.32,0.71,40.13,41.66,1424.5,10.11,1355,2,1,2,0,2,572,1,3313,2
3,6.34,63.04,0.67,2.37,36.55,83.27,1716.75,6.08,1482,6,1,3,4,1,714,1,2048,0
3,5.76,39.46,0.82,1.72,23.26,86.89,104.08,7.19,120,3,1,1,0,3,84,1,1365,0
0,7.97,16.58,1.34,0.31,14.98,32.04,1513.16,7.39,1599,2,4,2,4,1,1192,2,2998,3
1,7.72,38.68,1.44,1.32,18.12,45.55,801.26,8.35,12,3,1,2,0,3,416,2,3749,2
0,6.11,45.19,1.43,0.3,34.09,56.51,2248.37,7.15,418,5,1,1,2,1,774,2,5035,4
1,5.02,64.28,1.12,1.0,35.91,93.23,934.61,6.81,1279,5,3,2,4,4,1291,1,1418,0
3,4.84,17.24,0.72,1.97,28.73,90.13,2260.76,6.48,1262,0,1,3,1,4,1094,1,1417,2
0,7.61,34.71,0.31,0.29,14.34,91.28,1471.08,10.26,460,3,3,2,2,1,309,2,134,0
1,4.86,63.69,0.83,2.62,21.89,80.63,542.23,10.85,1069,2,1,1,0,1,185,1,754,2
0,5.48,56.13,1.44,2.05,30.52,47.54,570.49,5.08,711,6,0,1,4,1,314,2,4257,0
1,6.17,9.5,1.21,0.7,30.84,77.68,775.21,5.93,695,6,0,1,0,4,1187,2,5402,1
2,5.25,26.19,1.59,3.23,12.13,38.23,593.58,7.62,204,3,4,1,0,3,906,2,5680,1
0,8.02,59.76,0.8,0.53,14.82,78.69,2440.3,8.87,129,4,0,1,4,2,238,2,4112,2
0,6.03,56.07,0.63,3.17,24.92,85.48,1434.13,7.55,1296,5,4,3,0,4,1211,2,4477,3
2,6.2,54.89,1.29,3.4,19.61,71.11,307.53,7.67,618,2,1,3,2,2,549,2,2491,2
3,5.12,28.62,0.71,3.44,32.96,88.63,2476.41,10.39,1791,4,4,3,0,3,1436,2,3520,0
0,7.9,45.27,0.63,0.73,33.15,32.57,535.28,5.8,259,5,3,1,4,2,461,1,489,3
2,5.82,13.32,0.49,2.56,30.59,54.96,2171.81,9.39,1197,3,0,2,2,4,1361,2,1716,2
2,7.26,36.65,1.17,2.1,40.02,66.33,1421.79,8.4,1042,3,4,2,0,4,1335,1,3201,3
2,7.57,13.21,0.66,3.25,13.18,66.66,2316.28,7.87,135,3,1,1,1,4,1285,1,2790,0
2,7.99,24.46,1.01,2.93,27.89,92.79,1394.28,8.21,1459,5,3,3,0,3,822,1,3427,2
0,7.75,34.64,0.46,2.81,40.29,85.43,986.85,7.79,1793,2,0,2,4,4,959,1,5150,2
2,7.65,31.72,0.3,1.72,39.78,47.78,2195.57,10.05,394,6,3,2,4,1,507,1,5378,4
3,5.93,8.03,1.48,3.5,21.27,32.03,792.31,6.42,1026,0,0,1,2,1,665,2,1986,2
0,6.54,9.3,0.76,3.26,37.4,30.27,1285.74,5.56,1284,0,4,3,0,2,979,2,4625,0
3,6.43,45.36,0.42,0.5,17.05,59.05,158.48,5.08,620,2,4,3,2,4,284,1,4592,3
1,7.27,42.79,1.35,3.3,32.31,59.36,832.16,9.79,1887,0,4,2,1,2,341,2,2746,3
1,6.27,43.49,1.05,0.48,20.7,80.85,2440.01,5.21,478,6,1,3,1,4,1045,1,5850,0
0,7.48,56.11,1.53,2.07,13.39,40.37,1143.3,9.93,1904,3,1,1,4,1,737,2,3338,1
2,7.68,10.14,1.1,1.16,19.44,43.46,660.54,9.19,1273,2,3,2,2,4,1356,2,2130,0
1,7.14,48.85,0.32,1.92,22.05,33.56,1936.05,9.24,972,5,4,3,4,1,601,2,4640,0
0,4.85,34.84,0.44,1.77,36.28,42.05,924.31,5.75,1499,5,3,3,1,2,538,2,4988,1
0,6.0,42.68,0.9,1.8,13.41,64.4,716.72,4.05,482,6,4,2,1,3,887,1,3425,2
0,8.1,35.91,0.63,2.8,12.59,64.87,1741.26,9.94,1056,0,3,1,0,1,520,1,4381,4
