num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Soil_Type,cat__Wind_Speed_kmh,cat__Crop_Type,cat__Crop_Growth_Stage,cat__Season,cat__Irrigation_Type,cat__Water_Source,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region
7.58,54.78,0.71,3.23,20.88,39.91,323.92,10.29,Sandy,8.76,Cotton,Harvest,Rabi,Drip,River,2.71,Yes,50.3,East
5.9,51.5,0.85,0.67,15.62,45.04,1448.12,7.81,Silt,4.84,Cotton,Sowing,Rabi,Rainfed,Reservoir,8.86,Yes,14.5,West
5.98,41.48,0.31,0.67,18.34,72.45,1608.98,10.94,Loamy,16.23,Potato,Vegetative,Zaid,Canal,Reservoir,1.24,Yes,117.32,Central
6.7,57.59,0.77,0.24,18.63,56.6,1206.63,6.52,Sandy,14.41,Rice,Flowering,Rabi,Rainfed,Groundwater,14.95,No,99.69,South
4.87,28.53,1.59,2.24,38.1,64.69,2086.72,9.39,Loamy,15.02,Wheat,Sowing,Zaid,Sprinkler,River,12.98,No,100.39,East
7.44,48.89,0.34,1.83,15.24,91.52,122.96,7.71,Silt,15.65,Rice,Sowing,Rabi,Sprinkler,Rainwater,11.34,Yes,69.67,West
6.39,63.83,0.46,0.77,17.69,61.88,1562.15,7.87,Silt,16.44,Rice,Harvest,Zaid,Drip,Groundwater,11.83,No,109.94,South
5.85,57.07,1.25,3.34,28.92,61.21,54.61,8.67,Clay,12.8,Cotton,Vegetative,Rabi,Canal,Groundwater,5.85,No,37.35,West
7.91,13.03,0.42,0.42,25.54,80.18,1667.27,7.33,Sandy,2.21,Maize,Flowering,Rabi,Drip,Rainwater,15.0,Yes,49.08,South
7.63,58.68,1.48,2.21,37.08,59.96,1610.06,5.05,Loamy,2.51,Cotton,Sowing,Zaid,Drip,Reservoir,1.73,No,35.6,East
4.93,58.2,1.18,1.75,36.19,49.93,2338.13,4.98,Clay,2.02,Cotton,Harvest,Zaid,Drip,Groundwater,14.97,Yes,110.88,West
5.49,41.17,1.54,2.21,38.2,51.77,248.37,7.98,Clay,10.3,Sugarcane,Sowing,Zaid,Canal,Rainwater,3.87,Yes,34.88,North
6.57,28.66,1.49,3.13,12.24,48.84,117.93,8.76,Loamy,3.39,Maize,Sowing,Rabi,Rainfed,Reservoir,6.1,No,74.49,South
6.2,61.33,1.32,0.71,40.13,41.66,1424.5,10.11,Clay,4.37,Maize,Harvest,Rabi,Canal,Rainwater,14.06,No,50.82,North
