num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Soil_Type,cat__Wind_Speed_kmh,cat__Crop_Type,cat__Crop_Growth_Stage,cat__Season,cat__Irrigation_Type,cat__Water_Source,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region,Total_Water,Evaporation,Soil_Fertility,Heat_Stress
7.58,54.78,0.71,3.23,20.88,39.91,323.92,10.29,Sandy,8.76,Cotton,Harvest,Rabi,Drip,River,2.71,Yes,50.3,East,378.70000000000005,214.85519999999997,0.1551633381416445,6.726617980677202
5.9,51.5,0.85,0.67,15.62,45.04,1448.12,7.81,Silt,4.84,Cotton,Sowing,Rabi,Rainfed,Reservoir,8.86,Yes,14.5,West,1499.62,121.99219999999998,0.4114352750946682,6.557523532990263
5.98,41.48,0.31,0.67,18.34,72.45,1608.98,10.94,Loamy,16.23,Potato,Vegetative,Zaid,Canal,Reservoir,1.24,Yes,117.32,Central,1650.46,200.6396,0.17027321827778014,7.192733449182744
6.7,57.59,0.77,0.24,18.63,56.6,1206.63,6.52,Sandy,14.41,Rice,Flowering,Rabi,Rainfed,Groundwater,14.95,No,99.69,South,1264.22,121.46759999999999,0.4830233424540389,6.961730074928693
4.87,28.53,1.59,2.24,38.1,64.69,2086.72,9.39,Loamy,15.02,Wheat,Sowing,Zaid,Sprinkler,River,12.98,No,100.39,East,2115.25,357.759,0.3992731378602433,7.810226560604842
7.44,48.89,0.34,1.83,15.24,91.52,122.96,7.71,Silt,15.65,Rice,Sowing,Rabi,Sprinkler,Rainwater,11.34,Yes,69.67,West,171.85,117.5004,0.113454876234043,7.2411977877523785
6.39,63.83,0.46,0.77,17.69,61.88,1562.15,7.87,Silt,16.44,Rice,Harvest,Zaid,Drip,Groundwater,11.83,No,109.94,South,1625.98,139.2203,0.2310220388862896,6.999109644861431
5.85,57.07,1.25,3.34,28.92,61.21,54.61,8.67,Clay,12.8,Cotton,Vegetative,Rabi,Canal,Groundwater,5.85,No,37.35,West,111.68,250.7364,0.25310493905469433,7.479408722741944
7.91,13.03,0.42,0.42,25.54,80.18,1667.27,7.33,Sandy,2.21,Maize,Flowering,Rabi,Drip,Rainwater,15.0,Yes,49.08,South,1680.3,187.2082,0.25910870000772485,7.625008168230731
7.63,58.68,1.48,2.21,37.08,59.96,1610.06,5.05,Loamy,2.51,Cotton,Sowing,Zaid,Drip,Reservoir,1.73,No,35.6,East,1668.74,187.254,0.3791616453162635,7.707205091269164
4.93,58.2,1.18,1.75,36.19,49.93,2338.13,4.98,Clay,2.02,Cotton,Harvest,Zaid,Drip,Groundwater,14.97,Yes,110.88,West,2396.33,180.2262,0.35703851420268995,7.499958122640913
5.49,41.17,1.54,2.21,38.2,51.77,248.37,7.98,Clay,10.3,Sugarcane,Sowing,Zaid,Canal,Rainwater,3.87,Yes,34.88,North,289.54,304.836,0.3918736809046253,7.590151878574187
6.57,28.66,1.49,3.13,12.24,48.84,117.93,8.76,Loamy,3.39,Maize,Sowing,Rabi,Rainfed,Reservoir,6.1,No,74.49,South,146.59,107.2224,0.3080542569326583,6.3949303245525915
6.2,61.33,1.32,0.71,40.13,41.66,1424.5,10.11,Clay,4.37,Maize,Harvest,Rabi,Canal,Rainwater,14.06,No,50.82,North,1485.83,405.7143,0.5720692490067093,7.422263593311329
6.34,63.04,0.67,2.37,36.55,83.27,1716.75,6.08,Silt,5.65,Wheat,Harvest,Zaid,Sprinkler,Groundwater,2.48,No,28.16,Central,1779.79,222.224,0.18133194760878835,8.021098039561616
5.76,39.46,0.82,1.72,23.26,86.89,104.08,7.19,Silt,1.74,Potato,Harvest,Kharif,Canal,Reservoir,1.14,No,15.69,Central,143.54,167.23940000000002,0.26349484683777713,7.611872765093663
7.97,16.58,1.34,0.31,14.98,32.04,1513.16,7.39,Clay,6.83,Maize,Vegetative,Rabi,Sprinkler,Groundwater,7.3,Yes,45.18,South,1529.74,110.7022,0.7045325027850706,6.175782443223239
7.72,38.68,1.44,1.32,18.12,45.55,801.26,8.35,Loamy,0.62,Potato,Harvest,Rabi,Canal,Reservoir,12.48,Yes,59.79,North,839.9399999999999,151.302,0.4828517717235845,6.7170377746550916
6.11,45.19,1.43,0.3,34.09,56.51,2248.37,7.15,Clay,12.78,Sugarcane,Harvest,Kharif,Rainfed,Groundwater,3.1,Yes,83.55,West,2293.56,243.74350000000004,0.7419373447293772,7.563940661118745
5.02,64.28,1.12,1.0,35.91,93.23,934.61,6.81,Loamy,3.6,Sugarcane,Sowing,Rabi,Sprinkler,River,8.29,No,16.65,Central,998.89,244.54709999999997,0.44468582126144574,8.11638401760471
4.84,17.24,0.72,1.97,28.73,90.13,2260.76,6.48,Silt,3.43,Cotton,Harvest,Zaid,Drip,River,6.32,No,16.64,North,2278.0,186.17040000000003,0.21706450523782758,7.859581055655343
7.61,34.71,0.31,0.29,14.34,91.28,1471.08,10.26,Clay,13.23,Potato,Sowing,Rabi,Rainfed,Groundwater,11.4,Yes,10.97,Central,1505.79,147.1284,0.2153614108721548,7.177748217137133
4.86,63.69,0.83,2.62,21.89,80.63,542.23,10.85,Loamy,19.48,Maize,Harvest,Kharif,Canal,Groundwater,10.16,No,110.99,North,605.9200000000001,237.5065,0.20643007034046915,7.476467115011873
5.48,56.13,1.44,2.05,30.52,47.54,570.49,5.08,Clay,15.78,Wheat,Flowering,Kharif,Sprinkler,Groundwater,11.45,Yes,69.36,Central,626.62,155.0416,0.38671111113484263,7.280642648442538
6.17,9.5,1.21,0.7,30.84,77.68,775.21,5.93,Loamy,15.62,Wheat,Flowering,Kharif,Canal,River,7.25,Yes,90.25,East,784.71,182.88119999999998,0.5375248301212308,7.781827708618649
5.25,26.19,1.59,3.23,12.13,38.23,593.58,7.62,Sandy,10.58,Potato,Vegetative,Kharif,Canal,Reservoir,4.44,Yes,95.56,East,619.7700000000001,92.43060000000001,0.31909826868515984,6.141456376607652
8.02,59.76,0.8,0.53,14.82,78.69,2440.3,8.87,Clay,1.83,Rice,Flowering,Kharif,Sprinkler,Rainwater,10.69,Yes,66.45,North,2500.0600000000004,131.4534,0.4206005321732651,7.062350831267539
6.03,56.07,0.63,3.17,24.92,85.48,1434.13,7.55,Clay,3.77,Sugarcane,Vegetative,Zaid,Canal,River,7.49,Yes,72.77,South,1490.2,188.14600000000002,0.14069988210313517,7.664422462165725
6.2,54.89,1.29,3.4,19.61,71.11,307.53,7.67,Sandy,14.84,Maize,Harvest,Zaid,Rainfed,Rainwater,13.82,Yes,36.1,North,362.41999999999996,150.40869999999998,0.25710570721402404,7.240984476919173
5.12,28.62,0.71,3.44,32.96,88.63,2476.41,10.39,Silt,8.77,Rice,Vegetative,Zaid,Canal,Reservoir,9.74,Yes,54.92,Central,2505.0299999999997,342.4544,0.14834233823151138,7.980107367035531
7.9,45.27,0.63,0.73,33.15,32.57,535.28,5.8,Clay,11.13,Sugarcane,Sowing,Kharif,Sprinkler,Rainwater,12.94,No,107.0,South,580.55,192.26999999999998,0.3105402105278311,6.985360094332652
5.82,13.32,0.49,2.56,30.59,54.96,2171.81,9.39,Sandy,2.78,Potato,Flowering,Rabi,Rainfed,River,8.99,Yes,21.42,North,2185.13,287.24010000000004,0.1289563362545087,7.427873433139587
7.26,36.65,1.17,2.1,40.02,66.33,1421.79,8.4,Sandy,19.21,Potato,Vegetative,Rabi,Canal,River,8.73,No,49.48,South,1458.44,336.16800000000006,0.3202117157494326,7.884398256758246
7.57,13.21,0.66,3.25,13.18,66.66,2316.28,7.87,Sandy,1.89,Potato,Harvest,Kharif,Drip,River,8.23,No,40.87,Central,2329.4900000000002,103.7266,0.14435495887010377,6.779443156525668
7.99,24.46,1.01,2.93,27.89,92.79,1394.28,8.21,Sandy,5.42,Sugarcane,Sowing,Zaid,Canal,Reservoir,3.59,No,53.12,North,1418.74,228.97690000000003,0.22872590531866124,7.858993414105174
7.75,34.64,0.46,2.81,40.29,85.43,986.85,7.79,Clay,8.79,Maize,Flowering,Rabi,Sprinkler,River,4.97,No,85.89,North,1021.49,313.8591,0.1139846381019236,8.144091115068713
7.65,31.72,0.3,1.72,39.78,47.78,2195.57,10.05,Sandy,12.54,Wheat,Sowing,Rabi,Sprinkler,Groundwater,13.4,No,9.7,West,2227.29,399.78900000000004,0.10462495107887232,7.550497402134189
5.93,8.03,1.48,3.5,21.27,32.03,792.31,6.42,Silt,19.05,Cotton,Flowering,Kharif,Rainfed,Groundwater,15.0,Yes,27.02,North,800.3399999999999,136.55339999999998,0.28434317118626634,6.525437345988353
6.54,9.3,0.76,3.26,37.4,30.27,1285.74,5.56,Clay,3.65,Cotton,Vegetative,Zaid,Canal,Rainwater,5.17,Yes,75.89,Central,1295.04,207.944,0.16416077342235877,7.032710753315684
6.43,45.36,0.42,0.5,17.05,59.05,158.48,5.08,Silt,14.86,Maize,Vegetative,Zaid,Rainfed,River,11.15,No,75.19,South,203.83999999999997,86.614,0.24686007793152576,6.915527496894343
7.27,42.79,1.35,3.3,32.31,59.36,832.16,9.79,Loamy,9.77,Cotton,Vegetative,Rabi,Drip,Rainwater,11.72,Yes,40.07,South,874.9499999999999,316.3149,0.27304052245883287,7.55951864056135
6.27,43.49,1.05,0.48,20.7,80.85,2440.01,5.21,Loamy,13.41,Wheat,Harvest,Zaid,Drip,River,5.83,No,99.09,Central,2483.5,107.847,0.5361772149634052,7.423326623978223
7.48,56.11,1.53,2.07,13.39,40.37,1143.3,9.93,Clay,9.94,Potato,Harvest,Kharif,Sprinkler,Groundwater,2.72,Yes,51.29,East,1199.4099999999999,132.9627,0.4043787418959436,6.294443338421952
7.68,10.14,1.1,1.16,19.44,43.46,660.54,9.19,Sandy,3.54,Maize,Sowing,Rabi,Rainfed,River,8.94,Yes,29.93,Central,670.68,178.6536,0.4116189736825427,6.740356698623506
7.14,48.85,0.32,1.92,22.05,33.56,1936.05,9.24,Loamy,18.51,Sugarcane,Vegetative,Zaid,Sprinkler,Groundwater,14.35,Yes,76.24,Central,1984.8999999999999,203.74200000000002,0.10398971352404765,6.607997926237114
4.85,34.84,0.44,1.77,36.28,42.05,924.31,5.75,Clay,5.82,Sugarcane,Sowing,Zaid,Drip,Rainwater,13.71,Yes,82.64,East,959.15,208.61,0.14742361694267736,7.330781287907924
6.0,42.68,0.9,1.8,13.41,64.4,716.72,4.05,Clay,13.45,Wheat,Vegetative,Rabi,Drip,Reservoir,4.25,No,53.06,North,759.4,54.3105,0.27871340246902054,6.7622715986396695
8.1,35.91,0.63,2.8,12.59,64.87,1741.26,9.94,Clay,19.35,Cotton,Sowing,Kharif,Canal,Groundwater,13.53,No,70.74,West,1777.17,125.1446,0.1533985173247042,6.706511786169568
5.45,14.6,1.09,1.15,35.03,57.55,1810.71,5.5,Silt,10.55,Sugarcane,Harvest,Zaid,Sprinkler,Reservoir,9.28,No,36.66,South,1825.31,192.66500000000002,0.4101054876646666,7.609354886919556
4.98,44.08,0.55,2.4,22.63,37.54,2414.31,6.97,Sandy,10.42,Maize,Sowing,Kharif,Drip,Groundwater,12.67,No,106.7,North,2458.39,157.7311,0.1499401472909148,6.745859919729901
6.63,25.21,0.56,1.53,14.5,87.58,825.22,5.75,Loamy,3.57,Potato,Harvest,Rabi,Sprinkler,Reservoir,11.09,Yes,90.18,South,850.4300000000001,83.375,0.19995178817022521,7.147488458296757
7.16,52.31,0.6,1.47,40.27,71.35,2097.4,6.4,Clay,10.81,Potato,Flowering,Zaid,Drip,Groundwater,8.42,Yes,66.29,Central,2149.71,257.728,0.21745941095921997,7.963552094415419
8.11,58.37,1.18,1.96,31.7,74.18,2322.44,6.52,Silt,17.57,Cotton,Vegetative,Rabi,Drip,Reservoir,13.53,No,51.94,North,2380.81,206.68399999999997,0.335506519501254,7.763236421934497
6.1,21.36,1.04,3.23,22.33,52.99,1965.95,7.03,Loamy,2.17,Wheat,Harvest,Rabi,Sprinkler,Groundwater,6.52,No,59.38,South,1987.31,156.9799,0.21982836949508433,7.0768790434565965
6.52,25.25,0.8,0.31,38.88,38.48,638.83,10.5,Silt,4.89,Cotton,Harvest,Rabi,Sprinkler,Reservoir,4.36,Yes,101.98,South,664.08,408.24,0.47666081027491497,7.311286785553832
5.11,57.07,1.38,0.93,40.64,66.56,1657.22,10.46,Sandy,8.59,Potato,Harvest,Zaid,Drip,River,8.42,Yes,96.98,North,1714.29,425.09440000000006,0.5394281864721773,7.903226217451919
7.95,48.42,1.55,2.48,27.22,76.96,311.22,4.97,Clay,7.02,Maize,Flowering,Kharif,Canal,Groundwater,11.34,Yes,61.22,Central,359.64000000000004,135.2834,0.36838769032526486,7.647715050554443
5.23,28.46,1.59,2.45,12.66,37.63,1290.39,4.48,Loamy,19.72,Rice,Flowering,Kharif,Rainfed,Rainwater,2.57,No,112.23,South,1318.8500000000001,56.716800000000006,0.37903185104000886,6.168345916212071
5.17,53.49,0.4,2.97,12.02,29.13,2106.35,7.86,Sandy,7.22,Maize,Vegetative,Rabi,Drip,River,13.98,No,49.41,East,2159.8399999999997,94.4772,0.09599691440839973,5.861192408767714
5.42,40.88,1.3,3.46,15.49,80.23,445.69,9.78,Sandy,17.21,Potato,Sowing,Kharif,Sprinkler,River,12.87,Yes,11.48,South,486.57,151.4922,0.2557887086758272,7.125896499475947
5.37,14.47,1.19,0.83,35.49,38.28,2036.12,8.86,Clay,14.43,Potato,Flowering,Zaid,Drip,Rainwater,1.95,Yes,75.04,West,2050.5899999999997,314.4414,0.5009408645334487,7.214914337479446
6.26,55.25,0.38,1.57,19.7,87.08,578.37,9.22,Clay,17.43,Rice,Harvest,Rabi,Rainfed,Rainwater,11.05,No,60.32,West,633.62,181.63400000000001,0.1378992714446,7.448028630860004
5.05,47.08,0.99,2.08,12.23,36.02,1746.71,4.44,Sandy,8.09,Sugarcane,Flowering,Rabi,Canal,Groundwater,0.78,No,17.69,East,1793.79,54.30120000000001,0.2787134024690205,6.090233737631059
6.35,17.45,0.36,3.49,41.75,93.0,808.3,8.04,Sandy,11.47,Rice,Flowering,Zaid,Sprinkler,Groundwater,8.88,Yes,21.04,Central,825.75,335.66999999999996,0.0771260031952289,8.264556460707258
5.87,42.81,1.59,1.98,40.8,44.19,140.34,5.05,Clay,13.31,Potato,Harvest,Zaid,Sprinkler,River,14.31,No,40.84,Central,183.15,206.04,0.4275899043888003,7.497735092729779
7.93,24.78,0.64,0.24,32.08,81.59,766.38,7.16,Loamy,12.61,Wheat,Harvest,Kharif,Drip,Reservoir,14.77,No,119.42,South,791.16,229.6928,0.4161603972249123,7.870321472954043
